2026-03-23 19:28:48 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:28:48 INFO  [Config] 配置保存成功
2026-03-23 19:29:11 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:29:11 INFO  [Config] 配置保存成功
2026-03-23 19:29:14 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:29:14 INFO  [Config] 配置保存成功
2026-03-23 19:29:17 INFO  [Task] 停止任务... illekb0
2026-03-23 19:29:17 INFO  [MAA] 停止任务, 实例: illekb0
2026-03-23 19:29:17 INFO  [MAA] 停止任务请求已发送
2026-03-23 19:29:17 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:29:17 INFO  [Config] 配置保存成功
2026-03-23 19:29:17 INFO  [MAA] 停止 Agent, 实例: illekb0
2026-03-23 19:29:17 INFO  [MAA] 停止 Agent 成功
2026-03-23 19:29:18 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:29:18 INFO  [Config] 配置保存成功
2026-03-23 19:32:40 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:32:40 INFO  [Config] 配置保存成功
2026-03-23 19:34:31 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:34:31 INFO  [Config] 配置保存成功
2026-03-23 19:35:11 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:35:11 INFO  [Config] 配置保存成功
2026-03-23 19:35:13 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:35:13 INFO  [Config] 配置保存成功
2026-03-23 19:35:20 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:35:20 INFO  [Config] 配置保存成功
2026-03-23 19:49:36 WARN  [MAA] 截图等待超时, ctrl_id=100003503
2026-03-23 19:49:36 WARN  [UI] 截图失败 (1/20): {}
2026-03-23 19:49:36 WARN  [UI] 截图失败: {}
2026-03-23 19:56:13 INFO  [App] 加载 interface.json...
2026-03-23 19:56:13 INFO  [App] Tauri 环境，加载 interface.json
2026-03-23 19:56:13 INFO  [App] basePath (绝对路径): D:\browndust 2\install
2026-03-23 19:56:13 INFO  [App] 托盘事件监听已注册
2026-03-23 19:56:13 INFO  [App] dataPath (数据目录): D:\browndust 2\install
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/StartGame.json
2026-03-23 19:56:13 INFO  [App] 处理 12 个导入文件...
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/Draw.json
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/Sociaty.json
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/Operate.json
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/PVP.json
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/Square.json
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/HuntingArea.json
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 option
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/Bag.json
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 option
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/Misson.json
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/Passport.json
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/Mail.json
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 加载导入文件: tasks/test.json
2026-03-23 19:56:13 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:56:13 INFO  [App] 平台过滤: 移除了 1 个不支持的控制器 (不支持的类型: PlayCover)
2026-03-23 19:56:14 DEBUG [Config] 加载配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:56:14 INFO  [Config] 配置加载成功
2026-03-23 19:56:14 INFO  [App] 窗口图标已设置: D:\browndust 2\install/misc/MaaEnd-Tiny.png
2026-03-23 19:56:14 INFO  [App] 全局快捷键已注册: F10 F11
2026-03-23 19:56:14 INFO  [App] 已恢复后端状态: 0 个实例
2026-03-23 19:56:14 INFO  [MAA] 初始化 MaaFramework, libDir: (默认)
2026-03-23 19:56:14 DEBUG [MAA] 检查 MaaFramework 版本...
2026-03-23 19:56:14 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:56:14 INFO  [MAA] 版本检查结果: {"current":"v5.7.0-alpha.2","minimum":"v5.5.0-beta.1","is_compatible":true}
2026-03-23 19:56:14 INFO  [App] 加载完成, 项目: MaaBrownDust
2026-03-23 19:56:14 DEBUG [MAA] 获取 MaaFramework 版本...
2026-03-23 19:56:14 INFO  [App] 检查更新: MaaEnd并不是，但是#掉我怕有bug, 当前版本: v114514.0.0, 频道: stable
2026-03-23 19:56:14 INFO  [MAA] 搜索 Win32 窗口, classRegex: UnityWndClass , windowRegex: BrownDust II
2026-03-23 19:56:14 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:56:14 INFO  [MAA] 找到 Win32 窗口: 1 个
2026-03-23 19:56:14 DEBUG [MAA]   窗口[0]: handle=198592, class=UnityWndClass, name=BrownDust II
2026-03-23 19:56:14 DEBUG [MAA] 获取 MaaFramework 版本...
2026-03-23 19:56:14 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:56:14 INFO  [MAA] 创建实例: illekb0
2026-03-23 19:56:14 INFO  [MAA] 创建实例成功: illekb0
2026-03-23 19:56:14 DEBUG [MAA] 控制器配置: {"type":"Win32","handle":198592,"screencap_method":2,"mouse_method":32,"keyboard_method":32}
2026-03-23 19:56:14 INFO  [MAA] 连接控制器, 实例: illekb0 类型: Win32
2026-03-23 19:56:14 INFO  [MAA] 控制器连接请求已发送, ctrlId: 100000001
2026-03-23 19:56:14 WARN  [App] https://mirrorchyan.com/api/resources 请求失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:56:14 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:56:14 INFO  [Config] 配置保存成功
2026-03-23 19:56:15 WARN  [App] https://mirrorchyan.net/api/resources 请求失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:56:15 ERROR [App] 检查更新失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:56:18 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:56:18 INFO  [Config] 配置保存成功
2026-03-23 19:56:19 INFO  [Task] 当前已是管理员权限
2026-03-23 19:56:19 INFO  [Task] 实例 配置 1: 加载资源...
2026-03-23 19:56:19 DEBUG [MAA]   路径[0]: D:\browndust 2\install/resource
2026-03-23 19:56:19 INFO  [MAA] 加载资源, 实例: illekb0 , 路径数: 1
2026-03-23 19:56:19 INFO  [MAA] 资源加载请求已发送, resIds: [100000001]
2026-03-23 19:56:19 WARN  [Task] 实例 配置 1: 资源加载失败
2026-03-23 19:56:19 ERROR [Task] 任务启动异常: {}
2026-03-23 19:56:21 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:56:21 INFO  [Config] 配置保存成功
2026-03-23 19:58:12 INFO  [App] 加载 interface.json...
2026-03-23 19:58:12 INFO  [App] Tauri 环境，加载 interface.json
2026-03-23 19:58:12 INFO  [App] basePath (绝对路径): D:\browndust 2\install
2026-03-23 19:58:12 INFO  [App] 托盘事件监听已注册
2026-03-23 19:58:12 INFO  [App] dataPath (数据目录): D:\browndust 2\install
2026-03-23 19:58:12 INFO  [App] 处理 12 个导入文件...
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/StartGame.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/Draw.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/Sociaty.json
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/Operate.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/PVP.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/Square.json
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/HuntingArea.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 option
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/Bag.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/Misson.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 option
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/Passport.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/Mail.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 加载导入文件: tasks/test.json
2026-03-23 19:58:12 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:58:12 INFO  [App] 平台过滤: 移除了 1 个不支持的控制器 (不支持的类型: PlayCover)
2026-03-23 19:58:12 DEBUG [Config] 加载配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:58:12 INFO  [Config] 配置加载成功
2026-03-23 19:58:12 INFO  [App] 窗口图标已设置: D:\browndust 2\install/misc/MaaEnd-Tiny.png
2026-03-23 19:58:12 INFO  [App] 全局快捷键已注册: F10 F11
2026-03-23 19:58:12 INFO  [App] 已恢复后端状态: 0 个实例
2026-03-23 19:58:12 INFO  [MAA] 初始化 MaaFramework, libDir: (默认)
2026-03-23 19:58:12 DEBUG [MAA] 检查 MaaFramework 版本...
2026-03-23 19:58:12 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:58:12 INFO  [MAA] 版本检查结果: {"current":"v5.7.0-alpha.2","minimum":"v5.5.0-beta.1","is_compatible":true}
2026-03-23 19:58:12 INFO  [App] 加载完成, 项目: MaaBrownDust
2026-03-23 19:58:12 DEBUG [MAA] 获取 MaaFramework 版本...
2026-03-23 19:58:12 INFO  [App] 检查更新: MaaEnd并不是，但是#掉我怕有bug, 当前版本: v114514.0.0, 频道: stable
2026-03-23 19:58:12 INFO  [MAA] 搜索 Win32 窗口, classRegex: UnityWndClass , windowRegex: BrownDust II
2026-03-23 19:58:12 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:58:12 INFO  [MAA] 找到 Win32 窗口: 1 个
2026-03-23 19:58:12 DEBUG [MAA]   窗口[0]: handle=198592, class=UnityWndClass, name=BrownDust II
2026-03-23 19:58:12 DEBUG [MAA] 获取 MaaFramework 版本...
2026-03-23 19:58:12 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:58:12 INFO  [MAA] 创建实例: illekb0
2026-03-23 19:58:12 DEBUG [MAA] 控制器配置: {"type":"Win32","handle":198592,"screencap_method":2,"mouse_method":32,"keyboard_method":32}
2026-03-23 19:58:12 INFO  [MAA] 连接控制器, 实例: illekb0 类型: Win32
2026-03-23 19:58:12 INFO  [MAA] 创建实例成功: illekb0
2026-03-23 19:58:12 INFO  [MAA] 控制器连接请求已发送, ctrlId: 100000001
2026-03-23 19:58:13 WARN  [App] https://mirrorchyan.com/api/resources 请求失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:58:13 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:58:13 INFO  [Config] 配置保存成功
2026-03-23 19:58:13 WARN  [App] https://mirrorchyan.net/api/resources 请求失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:58:13 ERROR [App] 检查更新失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:58:14 INFO  [Task] 当前已是管理员权限
2026-03-23 19:58:14 INFO  [MAA] 加载资源, 实例: illekb0 , 路径数: 1
2026-03-23 19:58:14 INFO  [Task] 实例 配置 1: 加载资源...
2026-03-23 19:58:14 DEBUG [MAA]   路径[0]: D:\browndust 2\install/resource
2026-03-23 19:58:14 INFO  [MAA] 资源加载请求已发送, resIds: [100000001]
2026-03-23 19:58:14 INFO  [Task] 实例 配置 1: 开始执行任务, 数量: 1
2026-03-23 19:58:14 DEBUG [MAA]   任务[0]: entry=StartOperating, pipelineOverride=[]
2026-03-23 19:58:14 INFO  [MAA] Agent 配置: {"child_exec":"agent/go-service","child_args":[],"timeout":15000} , tcpCompatMode: false
2026-03-23 19:58:14 INFO  [MAA] 启动任务, 实例: illekb0 , 任务数: 1 , cwd: D:\browndust 2\install
2026-03-23 19:58:14 INFO  [MAA] 任务已提交, taskIds: [200000001]
2026-03-23 19:58:14 INFO  [Task] 实例 配置 1: 任务已提交, task_ids: [200000001]
2026-03-23 19:58:15 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:58:15 INFO  [Config] 配置保存成功
2026-03-23 19:58:16 INFO  [MAA] 停止任务, 实例: illekb0
2026-03-23 19:58:16 INFO  [Task] 停止任务... illekb0
2026-03-23 19:58:16 INFO  [MAA] 停止任务请求已发送
2026-03-23 19:58:16 INFO  [MAA] 停止 Agent, 实例: illekb0
2026-03-23 19:58:16 INFO  [MAA] 停止 Agent 成功
2026-03-23 19:58:17 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:58:17 INFO  [Config] 配置保存成功
2026-03-23 19:59:36 INFO  [App] Tauri 环境，加载 interface.json
2026-03-23 19:59:36 INFO  [App] 加载 interface.json...
2026-03-23 19:59:36 INFO  [App] basePath (绝对路径): D:\browndust 2\install
2026-03-23 19:59:36 INFO  [App] 托盘事件监听已注册
2026-03-23 19:59:36 INFO  [App] dataPath (数据目录): D:\browndust 2\install
2026-03-23 19:59:36 INFO  [App] 处理 12 个导入文件...
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/StartGame.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/Draw.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/Sociaty.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/Operate.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/PVP.json
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/Square.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/HuntingArea.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 option
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/Bag.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/Misson.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 option
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/Passport.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/Mail.json
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 INFO  [App] 加载导入文件: tasks/test.json
2026-03-23 19:59:36 INFO  [App] 平台过滤: 移除了 1 个不支持的控制器 (不支持的类型: PlayCover)
2026-03-23 19:59:36 INFO  [App] 合并了 1 个导入的 task
2026-03-23 19:59:36 DEBUG [Config] 加载配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:59:36 INFO  [App] 窗口图标已设置: D:\browndust 2\install/misc/MaaEnd-Tiny.png
2026-03-23 19:59:36 INFO  [Config] 配置加载成功
2026-03-23 19:59:36 INFO  [App] 全局快捷键已注册: F10 F11
2026-03-23 19:59:36 INFO  [MAA] 初始化 MaaFramework, libDir: (默认)
2026-03-23 19:59:36 INFO  [App] 已恢复后端状态: 0 个实例
2026-03-23 19:59:36 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:59:36 DEBUG [MAA] 检查 MaaFramework 版本...
2026-03-23 19:59:36 INFO  [MAA] 版本检查结果: {"current":"v5.7.0-alpha.2","minimum":"v5.5.0-beta.1","is_compatible":true}
2026-03-23 19:59:36 INFO  [App] 加载完成, 项目: MaaBrownDust
2026-03-23 19:59:36 DEBUG [MAA] 获取 MaaFramework 版本...
2026-03-23 19:59:36 INFO  [App] 检查更新: MaaEnd并不是，但是#掉我怕有bug, 当前版本: v114514.0.0, 频道: stable
2026-03-23 19:59:36 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:59:36 INFO  [MAA] 搜索 Win32 窗口, classRegex: UnityWndClass , windowRegex: BrownDust II
2026-03-23 19:59:36 INFO  [MAA] 找到 Win32 窗口: 1 个
2026-03-23 19:59:36 DEBUG [MAA]   窗口[0]: handle=198592, class=UnityWndClass, name=BrownDust II
2026-03-23 19:59:36 DEBUG [MAA] 获取 MaaFramework 版本...
2026-03-23 19:59:36 INFO  [MAA] MaaFramework 版本: v5.7.0-alpha.2
2026-03-23 19:59:36 INFO  [MAA] 创建实例: illekb0
2026-03-23 19:59:36 INFO  [MAA] 连接控制器, 实例: illekb0 类型: Win32
2026-03-23 19:59:36 INFO  [MAA] 创建实例成功: illekb0
2026-03-23 19:59:36 DEBUG [MAA] 控制器配置: {"type":"Win32","handle":198592,"screencap_method":2,"mouse_method":32,"keyboard_method":32}
2026-03-23 19:59:36 INFO  [MAA] 控制器连接请求已发送, ctrlId: 100000001
2026-03-23 19:59:36 WARN  [App] https://mirrorchyan.com/api/resources 请求失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:59:36 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
2026-03-23 19:59:36 INFO  [Config] 配置保存成功
2026-03-23 19:59:36 ERROR [App] 检查更新失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:59:36 WARN  [App] https://mirrorchyan.net/api/resources 请求失败: {"message":"Failed to execute 'close' on 'ReadableStreamDefaultController': Unexpected token 'C', \"Cannot GET\"... is not valid JSON"}
2026-03-23 19:59:40 INFO  [Task] 当前已是管理员权限
2026-03-23 19:59:40 INFO  [Task] 实例 配置 1: 加载资源...
2026-03-23 19:59:40 DEBUG [MAA]   路径[0]: D:\browndust 2\install/resource
2026-03-23 19:59:40 INFO  [MAA] 加载资源, 实例: illekb0 , 路径数: 1
2026-03-23 19:59:40 INFO  [MAA] 资源加载请求已发送, resIds: [100000001]
2026-03-23 19:59:40 INFO  [MAA] 启动任务, 实例: illekb0 , 任务数: 1 , cwd: D:\browndust 2\install
2026-03-23 19:59:40 DEBUG [MAA]   任务[0]: entry=StartOperate, pipelineOverride=[]
2026-03-23 19:59:40 INFO  [Task] 实例 配置 1: 开始执行任务, 数量: 1
2026-03-23 19:59:40 INFO  [MAA] Agent 配置: {"child_exec":"agent/go-service","child_args":[],"timeout":15000} , tcpCompatMode: false
2026-03-23 19:59:41 INFO  [Task] 实例 配置 1: 任务已提交, task_ids: [200000001]
2026-03-23 19:59:41 INFO  [MAA] 任务已提交, taskIds: [200000001]
2026-03-23 19:59:41 DEBUG [Config] 保存配置, 路径: D:/browndust 2/install/config/mxu-MaaBrownDust.json
